reorder_before_14d,diff_month,user_cnt,retention_rate
FALSE,0,46083,1.0
FALSE,1,10323,0.224
FALSE,2,13817,0.2998
FALSE,3,14445,0.3135
FALSE,4,14530,0.3153
FALSE,5,14259,0.3094
FALSE,6,14137,0.3068
FALSE,7,13387,0.2905
FALSE,8,13812,0.2997
FALSE,9,12983,0.2817
FALSE,10,12706,0.2757
FALSE,11,12127,0.2632
FALSE,12,12313,0.2672
TRUE,0,3178,1.0
TRUE,1,3165,0.9959
TRUE,2,2835,0.8921
TRUE,3,2785,0.8763
TRUE,4,2621,0.8247
TRUE,5,2458,0.7734
TRUE,6,2313,0.7278
TRUE,7,2182,0.6866
TRUE,8,2164,0.6809
TRUE,9,2056,0.6469
TRUE,10,1938,0.6098
TRUE,11,1830,0.5758
TRUE,12,1710,0.5381
