main_category,price_band,view_user,cart_user,view_to_cart
construction,MID,1059544,218809,0.2065
construction,LOW,856761,133168,0.1554
appliances,LOW,891638,120393,0.135
furniture,LOW,528438,65769,0.1245
sport,LOW,411247,50280,0.1223
electronics,LOW,477417,55838,0.117
appliances,MID,893327,100637,0.1127
construction,HIGH,736402,80426,0.1092
apparel,LOW,904950,94822,0.1048
kids,LOW,300294,29427,0.098
country_yard,LOW,85405,7866,0.0921
electronics,MID,448831,40647,0.0906
sport,MID,243547,21742,0.0893
auto,LOW,89697,7665,0.0855
computers,LOW,312354,25071,0.0803
accessories,LOW,159885,11446,0.0716
electronics,HIGH,338272,23200,0.0686
computers,MID,141822,8790,0.062
appliances,HIGH,445819,25719,0.0577
apparel,MID,461461,26642,0.0577
kids,MID,78460,3320,0.0423
furniture,MID,144862,5074,0.035
apparel,HIGH,263346,8910,0.0338
computers,HIGH,50701,958,0.0189
furniture,HIGH,63036,1087,0.0172
