hour,view_user,cart_user,view_to_cart
9,650336,118556,0.1823
10,627533,114323,0.1822
8,664844,119874,0.1803
7,648764,116759,0.18
11,600628,107261,0.1786
6,608479,108345,0.1781
5,551535,95757,0.1736
12,581899,100891,0.1734
13,572091,96132,0.168
4,470470,76642,0.1629
14,584250,92438,0.1582
15,616016,93764,0.1522
3,358384,52701,0.1471
16,604836,88350,0.1461
17,552510,78478,0.142
18,475014,60267,0.1269
2,231889,29173,0.1258
19,328379,40118,0.1222
20,219641,26172,0.1192
1,132561,15441,0.1165
21,142557,16508,0.1158
0,88271,9576,0.1085
22,118098,12783,0.1082
23,94229,10052,0.1067
